Registration,Mileage,CAPID,DateFirstRegistered,PurchaseDate,SaleDate
HJ67JCZ,52213,71003,26/09/2017,16/07/2018,06/01/2024
GL17WXC,66659,66820,09/05/2017,27/06/2019,21/01/2024
