VRM,mileage,CAP ID,Reg Date,Clean,Retail,ValuationDate,Mileage10000,CAPMan,CAPRange,CAPMod,CAPDer,ModIntroduced,ModDiscontinued,CAP Code
SJ18XPO,33000,74851,2020-10-22,13800,15900,19/12/2023,,VOLKSWAGEN,TIGUAN,TIGUAN DIESEL ESTATE,2.0 TDi 150 SE Nav 5dr,2016,2020,VWTI20SEM5EDTM  2   
KP70YRG,23000,89580,2020-10-22,23150,25500,05/01/2024,,AUDI,A4,A4 AVANT,40 TFSI Black Edition 5dr S Tronic,2019,0,AUA4204BL5EPTA  7   
