VRM,mileage,CAP ID,Reg Date,Clean,Retail,ValuationDate,Mileage10000,CAPMan,CAPRange,CAPMod,CAPDer,ModIntroduced,ModDiscontinued,CAP Code
MK20FBD,38000,85754,2020-03-09,12150,14250,04/01/2024,,KIA,SPORTAGE,SPORTAGE ESTATE,1.6 GDi ISG 2 5dr,2018,2021,KISP162  5EPIM  5   
LN66YNP,69000,71873,2016-09-01,7925,9925,06/11/2023,,MERCEDES-BENZ,A CLASS,A CLASS DIESEL HATCHBACK,A180d SE 5dr,2015,2018,MEAC15SE 5HDTM  5   
LX66VUV,73000,73496,2016-09-30,7850,9950,09/11/2023,,KIA,SPORTAGE,SPORTAGE ESTATE,1.6 GDi ISG 2 5dr,2016,2018,KISP162  5EPIM  4   
NA64MWP,69000,64175,2014-10-27,4875,6675,06/12/2023,,VOLKSWAGEN,POLO,POLO HATCHBACK,1.0 SE 5dr,2014,2017,VWPO10SE 5HPIM  5   
DX68YSG,51000,80632,2018-11-30,6725,8725,19/12/2023,,VAUXHALL,ASTRA,ASTRA SPORTS TOURER,1.0T ecoTEC Tech Line Nav 5dr,2016,2019,VAAS10TLT5EPTM  7   
PE69TNO,13000,71788,2019-09-03,7275,8750,19/12/2023,,FIAT,500,500 HATCHBACK,1.2 Lounge 3dr,2015,0,FI5012LNG3HPIM  1   
LA69BBE,34000,89233,2019-12-21,21550,24000,06/12/2023,,TESLA,MODEL 3,MODEL 3 SALOON,Long Range AWD 4dr Auto,2019,0,TEM300LR 4SE A4     
EK67BZH,50000,69944,2017-09-30,13550,16095,23/11/2023,,FORD,MONDEO VIGNALE,MONDEO VIGNALE DIESEL ESTATE,2.0 TDCi 210 5dr Powershift,2015,2019,FOMV202105EDTA      
DN21VJO,44000,94706,2021-05-28,9575,11700,23/11/2023,,VAUXHALL,CROSSLAND,CROSSLAND HATCHBACK,1.2 Elite 5dr,2020,0,VACR12EIL5HPIM      
YS22NNG,10000,99771,2022-06-21,17500,19595,28/12/2023,,VOLKSWAGEN,T-ROC,T-ROC HATCHBACK,1.0 TSI Life 5dr,2022,0,VWTR10LFE5HPTM  1   
LN67EBU,52000,78075,2017-09-30,6225,7995,19/12/2023,,NISSAN,MICRA,MICRA HATCHBACK,0.9 IG-T Acenta 5dr,2016,2022,NIMI09ACE5HPTM  6   
LS20VCT,47000,77969,2020-03-23,15450,17450,19/12/2023,,HONDA,CIVIC,CIVIC HATCHBACK,1.5 VTEC Turbo Prestige 5dr CVT,2017,2022,HOCI15PRG5HPTA  6   
