VRM,mileage,CAP ID,Reg Date,Clean,Retail,ValuationDate,Mileage10000,CAPMan,CAPRange,CAPMod,CAPDer,ModIntroduced,ModDiscontinued,CAP Code
BC66RFZ,13000,68161,01/09/2016,6675,8675,19/12/2023,,FORD,ECOSPORT,ECOSPORT HATCHBACK,1.0 EcoBoost Titanium 5dr [17in],2013,2018,FOEO10TI75HPTM      
KO17UVV,73000,71912,31/05/2017,9675,11700,19/12/2023,,MERCEDES-BENZ,A CLASS,A CLASS DIESEL HATCHBACK,A200d AMG Line Executive 5dr Auto,2015,2018,MEAC212OX5HDTA  5   
KV18HNN,47000,78443,01/04/2018,12150,14150,19/12/2023,,VOLKSWAGEN,GOLF,GOLF HATCHBACK,1.5 TSI EVO 150 R-Line 5dr,2017,2020,VWGO15RLI5HPTM  6   
GF69WHL,24000,89347,03/12/2019,19100,21250,18/01/2024,,TESLA,MODEL 3,MODEL 3 SALOON,Standard Plus 4dr Auto,2019,0,TEM300SP 4SE A      
FD70YCH,48000,87962,22/12/2020,14200,16200,24/01/2024,,TOYOTA,COROLLA,COROLLA TOURING SPORT,1.8 VVT-i Hybrid Icon Tech 5dr CVT,2018,2022,TOCO18ICT5EHIA  8   
WL18EWE,43000,81156,16/07/2018,15150,17250,24/01/2024,,JAGUAR,E-PACE,E-PACE DIESEL ESTATE,2.0d [180] S 5dr Auto,2017,2020,JAEP2018S5EDTA4     
BG71WRJ,7000,96110,30/10/2021,26250,29000,24/01/2024,,HYUNDAI,TUCSON,TUCSON ESTATE,1.6 TGDi Hybrid 230 Ultimate 5dr 2WD Auto,2020,0,HYTU16ULT5EHTA  4   
PK70ZSF,32000,87507,26/10/2020,12650,14750,19/12/2023,,NISSAN,QASHQAI,QASHQAI HATCHBACK,1.3 DiG-T 160 Acenta Premium 5dr DCT,2017,2021,NIQQ13AP65HPTA  3   
NL18YSZ,29000,81715,16/04/2018,9300,11150,19/12/2023,,CITROEN,C3 AIRCROSS,C3 AIRCROSS HATCHBACK,1.2 PureTech 130 Flair 5dr,2017,2021,CICR12FL35HPTM      
DY67OWD,81000,81375,18/09/2017,8625,10750,19/12/2023,,NISSAN,X-TRAIL,X-TRAIL DIESEL STATION WAGON,1.6 dCi N-Connecta 5dr [7 Seat],2017,2021,NIXT16NC75WDTM  4   
