VRM,mileage,CAP ID,Reg Date,Clean,Retail,ValuationDate,Mileage10000,CAPMan,CAPRange,CAPMod,CAPDer,ModIntroduced,ModDiscontinued,CAP Code
MF18TGN,54000,80687,2015-04-21,14100,16600,23/11/2023,,BMW,3 SERIES,3 SERIES SALOON SPECIAL EDITION,330e M Sport Shadow Edition 4dr Step Auto,2017,2018,BM3 20SME4SXTA  7   
FG70CXS,47000,91222,2015-04-21,15650,17750,24/11/2023,,TOYOTA,C-HR,C-HR HATCHBACK,2.0 Hybrid Excel 5dr CVT,2019,0,TOCH20EXL5HHIA  1   
MX70TZK,36000,90763,2015-04-21,13250,15400,23/11/2023,,FORD,PUMA,PUMA HATCHBACK,1.0 EcoBoost Hybrid mHEV ST-Line X 5dr,2019,0,FOPU10SLX5HPTM      
BD63WCW,46000,61920,2015-04-21,3025,4825,23/11/2023,,NISSAN,MICRA,MICRA HATCHBACK,1.2 Visia 5dr,2013,2016,NIMI12VIS5HPIM  5   
KK69HKP,22000,85767,2015-04-21,17950,20000,10/11/2023,,KIA,SPORTAGE,SPORTAGE DIESEL ESTATE,2.0 CRDi 48V ISG 4 5dr DCT Auto [AWD],2018,2021,KISP204  5EDTA4 5   
YB20FLG,31000,83541,2015-04-21,11550,13550,29/11/2023,,FORD,FOCUS,FOCUS DIESEL HATCHBACK,1.5 EcoBlue 120 ST-Line 5dr,2018,2022,FOFO15S2T5HDTM  6   
DY64UAS,38000,60776,2015-04-21,4725,6525,23/11/2023,,RENAULT,CAPTUR,CAPTUR HATCHBACK,0.9 TCE 90 Expression+ Energy 5dr,2013,2017,R1CP09EPP5HPTM      
EF70YMR,45000,91060,2015-04-21,12450,14450,10/11/2023,,HYUNDAI,IONIQ,IONIQ HATCHBACK,1.6 GDi Hybrid Premium 5dr DCT,2019,2022,HYIN16PRM5HHIA  1   
OE70OEV,15000,83381,2015-04-21,28100,32000,23/11/2023,,JAGUAR,I-PACE,I-PACE ESTATE,294kW EV400 HSE 90kWh 5dr Auto,2018,2022,JAIP00HSE5EE A4     
DS20FFL,45000,90661,2015-04-21,8525,10300,20/11/2023,,VAUXHALL,CORSA,CORSA HATCHBACK,1.2 Turbo SRi Nav Premium 5dr,2019,2023,VACO12PSR5HPTM  6   
MJ18ZDL,42000,76445,2015-04-21,14350,17150,29/11/2023,,AUDI,A5,A5 COUPE,2.0 TFSI S Line 2dr,2016,2020,AUA520SL 2CPTM  2   
DP69EZV,40000,91130,2015-04-21,22150,25250,23/11/2023,,AUDI,Q3,Q3 SPORTBACK,35 TFSI S Line 5dr [Comfort+Sound Pack],2019,0,AU3S15SLC5EPTM      
MH68URN,86000,85766,2015-04-21,12050,14150,29/11/2023,,KIA,SPORTAGE,SPORTAGE DIESEL ESTATE,1.6 CRDi ISG 4 5dr DCT Auto [AWD],2018,2021,KISP164  5EDTA4 5   
RE15CJF,48000,67043,2015-04-21,20550,24750,23/11/2023,,JAGUAR,F-TYPE,F-TYPE COUPE,3.0 Supercharged V6 S 2dr Auto AWD,2014,2017,JAFT30S  2CPSA4     
NV65ZGB,35000,68800,2015-04-21,9675,12100,23/11/2023,,TOYOTA,AVENSIS,AVENSIS SALOON,1.8 Business Edition Plus 4dr,2015,2018,TOAV18BEP4SPIM  6   
LN19PXA,30000,83786,2015-04-21,16850,18850,23/11/2023,,MERCEDES-BENZ,A CLASS,A CLASS DIESEL HATCHBACK,A180d AMG Line Executive 5dr Auto,2018,2022,MEAC15LAE5HDTA  6   
DN20WCF,54000,90662,2015-04-21,8050,9850,23/11/2023,,VAUXHALL,CORSA,CORSA HATCHBACK,1.2 Turbo Elite Nav 5dr,2019,2023,VACO12ETN5HPTM  6   
YR70LTV,47000,92699,2015-04-21,20000,23000,29/11/2023,,VOLVO,XC40,XC40 ESTATE,1.5 T5 Recharge PHEV R DESIGN 5dr Auto,2018,0,VOX415RRD5EXTA      
BG72ELC,6000,91700,2015-04-21,18200,20250,28/11/2023,,PEUGEOT,2008,E-2008 ELECTRIC ESTATE,100kW GT 50kWh 5dr Auto,2019,2023,PE2000GT 5EE A  2   
WT15NDE,48000,66176,2015-04-21,4550,6095,29/11/2023,,VAUXHALL,CORSA,CORSA HATCHBACK,1.4T [100] ecoFLEX SE 5dr,2014,2019,VACO14SE 5HPTM  5   
GF68ZSR,39000,78463,2015-04-21,10800,12750,23/11/2023,,VOLKSWAGEN,GOLF,GOLF DIESEL HATCHBACK,1.6 TDI SE [Nav] 5dr,2017,2020,VWGO16SEN5HDTM  6   
DY22CWO,18000,98535,2015-04-21,12450,14250,23/11/2023,,VAUXHALL,CORSA,CORSA HATCHBACK,1.2 Turbo SRi Edition 5dr Auto,2019,2023,VACO12SIE5HPTA  6   
