VRM,mileage,CAP ID,Reg Date,Clean,Retail,ValuationDate,Mileage10000,CAPMan,CAPRange,CAPMod,CAPDer,ModIntroduced,ModDiscontinued,CAP Code
SJ18XPO,33000,74851,2017-02-04,13800,15900,19/12/2023,,VOLKSWAGEN,TIGUAN,TIGUAN DIESEL ESTATE,2.0 TDi 150 SE Nav 5dr,2016,2020,VWTI20SEM5EDTM  2   
KP70YRG,23000,89580,2017-02-04,23150,25500,05/01/2024,,AUDI,A4,A4 AVANT,40 TFSI Black Edition 5dr S Tronic,2019,0,AUA4204BL5EPTA  7   
BP68NPD,40000,81154,2017-02-04,15650,17750,19/12/2023,,JAGUAR,E-PACE,E-PACE DIESEL ESTATE,2.0d [180] R-Dynamic S 5dr,2017,2020,JAEP201RS5EDTM4     
HN17LWW,60000,77738,2017-02-04,9100,11200,19/12/2023,,PEUGEOT,3008,3008 DIESEL ESTATE,1.6 BlueHDi 120 Allure 5dr,2016,2020,PE30162AL5EDTM  2   
KR20GFZ,26000,92060,2017-02-04,7875,9375,03/01/2024,,SUZUKI,SWIFT,SWIFT HATCHBACK,1.2 Dualjet SHVS SZ-T 5dr,2017,0,SISW12SZT5HPIM  5   
BV19ZKM,40000,85758,2017-02-04,12800,14900,04/01/2024,,KIA,SPORTAGE,SPORTAGE ESTATE,1.6T GDi ISG GT-Line 5dr,2018,2021,KISP16GTL5EPTM  5   
AE70XJG,48000,87507,2017-02-04,11650,13800,19/12/2023,,NISSAN,QASHQAI,QASHQAI HATCHBACK,1.3 DiG-T 160 Acenta Premium 5dr DCT,2017,2021,NIQQ13AP65HPTA  3   
LS69GHY,94000,83531,2017-02-04,8925,10900,12/01/2024,,FORD,FOCUS VIGNALE,FOCUS VIGNALE DIESEL ESTATE,2.0 EcoBlue 5dr,2018,2020,FOFL20   5EDTM      
FJ19VRG,60000,42521,2017-02-04,,,,60000,TOYOTA,AYGO,AYGO HATCHBACK SPECIAL EDITION,1.0 VVT-i Black 3dr [AC] MMT,2009,2012,TOAY10BLA3HPIA  1   
DO19PMV,30000,86127,2017-02-04,11800,13895,18/01/2024,,HYUNDAI,TUCSON,TUCSON ESTATE,1.6 TGDi 177 SE Nav 5dr 2WD,2018,2021,HYTU167SE5EPTM  3   
