VRM,Unused1,CAPMan,CAPMod,CAPDer,RegisteredDate,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Monthly_Clean,Unused10,Unused11,Monthly_Retail,Unused12,Unused13,Unused14,Database,Unused16,Unused17,Unused18,Unused19,Unused20,Live_Clean,Unused21,Unused22,Live_Retail
MW70OLO,,AUDI,A1 SPORTBACK,30 TFSI 110 Technik 5dr,30/11/2020,94902,35486,,,,,,,,,13450,,,15250,,,,CAR,,,,,,13600,,,15400
LV70ZND,,AUDI,A1 SPORTBACK,25 TFSI Sport 5dr,25/11/2020,86526,45714,,,,,,,,,12500,,,14295,,,,CAR,,,,,,12650,,,14400
MW70XFB,,AUDI,A1 SPORTBACK,30 TFSI 110 Sport 5dr,21/12/2020,94904,38457,,,,,,,,,13550,,,15350,,,,CAR,,,,,,13700,,,15500
VA21SUU,,AUDI,A1 SPORTBACK,30 TFSI Citycarver 5dr S Tronic,19/08/2021,91088,24239,,,,,,,,,17600,,,19395,,,,CAR,,,,,,17800,,,19600
MT70DVM,,AUDI,A3 SALOON,30 TFSI Sport 4dr,29/10/2020,93109,41298,,,,,,,,,14500,,,16495,,,,CAR,,,,,,14650,,,16650
SC21OVJ,,AUDI,A3 SPORTBACK,30 TFSI S Line 5dr,17/06/2021,92811,31405,,,,,,,,,16400,,,18395,,,,CAR,,,,,,16600,,,18600
VK70TXZ,,AUDI,A3 SALOON,30 TFSI S Line 4dr,30/09/2020,93110,48028,,,,,,,,,15050,,,16995,,,,CAR,,,,,,15150,,,17150
VK70SWO,,AUDI,A3 SALOON,30 TFSI S Line 4dr,30/09/2020,93110,32454,,,,,,,,,16300,,,18295,,,,CAR,,,,,,16450,,,18450
MM70EAF,,AUDI,A3 SALOON,30 TFSI S Line 4dr,30/12/2020,93110,35690,,,,,,,,,16050,,,18095,,,,CAR,,,,,,16200,,,18200
MT70CHN,,AUDI,A3 SALOON,30 TFSI S Line 4dr,29/10/2020,93110,40357,,,,,,,,,15650,,,17595,,,,CAR,,,,,,15750,,,17750
MT70BXA,,AUDI,A3 SALOON,30 TFSI S Line 4dr,29/10/2020,93110,42053,,,,,,,,,15500,,,17450,,,,CAR,,,,,,15600,,,17600
GF70GXC,,AUDI,A4 SALOON,40 TFSI 204 S Line 4dr S Tronic,06/11/2020,94169,23748,,,,,,,,,20200,,,22750,,,,CAR,,,,,,20200,,,22750
MT70EDK,,AUDI,A5 CABRIOLET SPECIAL EDITIONS,40 TDI Quattro Edition 1 2dr S Tronic,30/10/2020,92318,47305,,,,,,,,,22400,,,25250,,,,CAR,,,,,,21450,,,24500
MT70KVE,,AUDI,A6 SALOON,50 TFSI e Quattro Sport 4dr S Tronic,27/11/2020,92222,42423,,,,,,,,,21300,,,24250,,,,CAR,,,,,,20900,,,23750
MT70OGF,,AUDI,A6 SALOON,50 TFSI e Quattro Sport 4dr S Tronic,27/11/2020,92222,40460,,,,,,,,,21550,,,24500,,,,CAR,,,,,,21150,,,24000
VK70TXU,,AUDI,A6 SALOON,50 TFSI e Quattro Sport 4dr S Tronic,30/09/2020,92222,48522,,,,,,,,,20550,,,23500,,,,CAR,,,,,,20150,,,23000
MT70KVP,,AUDI,A6 SALOON,50 TFSI e Quattro S Line 4dr S Tronic,29/10/2020,92223,47770,,,,,,,,,22700,,,25750,,,,CAR,,,,,,22250,,,25250
VK70TGF,,AUDI,A6 SALOON,50 TFSI e Quattro S Line 4dr S Tronic,30/09/2020,92223,44047,,,,,,,,,23100,,,26000,,,,CAR,,,,,,22650,,,25500
MT70EBD,,AUDI,A6 SALOON,50 TFSI e Quattro S Line 4dr S Tronic,29/10/2020,92223,39968,,,,,,,,,23800,,,26750,,,,CAR,,,,,,23350,,,26250
MT70FDA,,AUDI,A6 SALOON,50 TFSI e Quattro Black Edition 4dr S Tronic,28/10/2020,92224,41859,,,,,,,,,24950,,,28750,,,,CAR,,,,,,24450,,,27500
VN70FDF,,AUDI,A8 DIESEL SALOON,50 TDI Quattro S Line 4dr Tiptronic,30/10/2020,83869,48528,,,,,,,,,27750,,,32500,,,,CAR,,,,,,27750,,,32500
VN70FBK,,AUDI,A8 DIESEL SALOON,50 TDI Quattro S Line 4dr Tiptronic,30/10/2020,83869,57063,,,,,,,,,26500,,,31250,,,,CAR,,,,,,26500,,,31250
BD70EZV,,AUDI,A8 DIESEL SALOON,50 TDI Quattro S Line 4dr Tiptronic,29/10/2020,83869,35536,,,,,,,,,29700,,,34500,,,,CAR,,,,,,29700,,,34500
MT70CCV,,AUDI,A8 DIESEL SALOON,50 TDI Quattro S Line 4dr Tiptronic,30/10/2020,83869,41195,,,,,,,,,28750,,,33500,,,,CAR,,,,,,28750,,,33500
MT70LJJ,,AUDI,A8 DIESEL SALOON,50 TDI Quattro Black Edition 4dr Tiptronic,30/10/2020,89775,46189,,,,,,,,,29950,,,34750,,,,CAR,,,,,,29950,,,34750
KR70ULU,,AUDI,A8 DIESEL SALOON,50 TDI Quattro Black Edition 4dr Tiptronic,29/10/2020,89775,40842,,,,,,,,,30900,,,35500,,,,CAR,,,,,,30900,,,35500
MT70OBX,,AUDI,A8 SALOON,55 TFSI Quattro S Line 4dr Tiptronic,30/10/2020,87665,38033,,,,,,,,,26300,,,31250,,,,CAR,,,,,,26300,,,31250
BG21SXB,,AUDI,Q2 ESTATE,35 TFSI S Line 5dr,14/04/2021,95244,42840,,,,,,,,,17250,,,19250,,,,CAR,,,,,,17450,,,19450
CE69VFD,,AUDI,Q2 ESTATE,35 TFSI Black Edition 5dr,29/11/2019,84972,40624,,,,,,,,,16400,,,18395,,,,CAR,,,,,,16550,,,18550
MT21YGV,,AUDI,Q3 DIESEL ESTATE,35 TDI Technik 5dr S Tronic,30/04/2021,95113,29992,,,,,,,,,21350,,,24500,,,,CAR,,,,,,21350,,,24500
RO70ZNX,,AUDI,Q3 DIESEL ESTATE,35 TDI S Line 5dr S Tronic,29/10/2020,86588,41454,,,,,,,,,21700,,,24750,,,,CAR,,,,,,21700,,,24750
RO70ZLE,,AUDI,Q3 DIESEL ESTATE,35 TDI S Line 5dr S Tronic,29/10/2020,86588,48347,,,,,,,,,20950,,,24000,,,,CAR,,,,,,20950,,,24000
NU70ZFF,,AUDI,Q3 DIESEL ESTATE,35 TDI S Line 5dr S Tronic,29/10/2020,86588,43838,,,,,,,,,21450,,,24500,,,,CAR,,,,,,21450,,,24500
SL70HRK,,AUDI,Q3 DIESEL ESTATE,35 TDI S Line 5dr S Tronic,29/10/2020,86588,41920,,,,,,,,,21700,,,24750,,,,CAR,,,,,,21700,,,24750
NA70GDF,,AUDI,Q3 DIESEL ESTATE,35 TDI S Line 5dr S Tronic,29/10/2020,86588,38995,,,,,,,,,22050,,,25000,,,,CAR,,,,,,22050,,,25000
NU70ZFJ,,AUDI,Q3 DIESEL ESTATE,35 TDI S Line 5dr S Tronic,29/10/2020,86588,36127,,,,,,,,,22250,,,25250,,,,CAR,,,,,,22250,,,25250
DX21YKV,,AUDI,Q3 ESTATE,35 TFSI S Line 5dr,29/04/2021,86577,32500,,,,,,,,,21250,,,24250,,,,CAR,,,,,,21250,,,24250
VK70SXD,,AUDI,Q5 ESTATE,50 TFSI e Quattro S Line 5dr S Tronic,30/09/2020,89631,38678,,,,,,,,,24400,,,27500,,,,CAR,,,,,,24400,,,27500
VK70GVP,,AUDI,Q5 ESTATE,50 TFSI e Quattro Black Edition 5dr S Tronic,30/09/2020,89632,33741,,,,,,,,,26050,,,30000,,,,CAR,,,,,,26050,,,30000
RO70PWV,,AUDI,Q7 DIESEL ESTATE,50 TDI Quattro Sport 5dr Tiptronic,29/09/2020,91110,43456,,,,,,,,,31800,,,35750,,,,CAR,,,,,,31800,,,35750
SL70OJC,,AUDI,Q7 DIESEL ESTATE,50 TDI Quattro Sport 5dr Tiptronic,29/09/2020,91110,50695,,,,,,,,,30900,,,35000,,,,CAR,,,,,,30900,,,35000
LV70AOH,,BMW,1 SERIES DIESEL HATCHBACK,116d M Sport 5dr Step Auto,28/09/2020,89894,32300,,,,,,,,,17350,,,19350,,,,CAR,,,,,,17350,,,19350
MA70HYN,,BMW,2 SERIES GRAN COUPE,M235i xDrive 4dr Step Auto,27/11/2020,91834,39677,,,,,,,,,21000,,,23250,,,,CAR,,,,,,21000,,,23250
ST70JYO,,BMW,2 SERIES COUPE,M240i 2dr [Nav] Step Auto,27/10/2020,80654,30100,,,,,,,,,20050,,,22250,,,,CAR,,,,,,20150,,,22250
YF70FUA,,BMW,2 SERIES DIESEL ACTIVE TOURER,216d SE 5dr,27/10/2020,83305,23652,,,,,,,,,12350,,,14795,,,,CAR,,,,,,12350,,,14800
YF70SBX,,BMW,2 SERIES DIESEL ACTIVE TOURER,220d Sport 5dr Step Auto,30/11/2020,83322,29958,,,,,,,,,13950,,,16350,,,,CAR,,,,,,13950,,,16350
BJ70DKV,,BMW,2 SERIES ACTIVE TOURER,218i M Sport 5dr,08/09/2020,83285,30566,,,,,,,,,12750,,,15150,,,,CAR,,,,,,12750,,,15150
PL69XBO,,BMW,2 SERIES ACTIVE TOURER,218i Luxury 5dr,21/01/2020,83283,31100,,,,,,,,,11300,,,13695,,,,CAR,,,,,,11300,,,13700
CA20NOH,,BMW,2 SERIES ACTIVE TOURER,220i Sport 5dr DCT,30/07/2020,83288,28256,,,,,,,,,13300,,,15695,,,,CAR,,,,,,13300,,,15700
YL21NHG,,BMW,3 SERIES DIESEL TOURING,320d MHT M Sport 5dr Step Auto,14/07/2021,92564,35350,,,,,,,,,24350,,,27000,,,,CAR,,,,,,23900,,,26500
YJ21SSF,,BMW,3 SERIES DIESEL TOURING,320d MHT M Sport 5dr Step Auto,12/07/2021,92564,29211,,,,,,,,,25150,,,28000,,,,CAR,,,,,,24650,,,27500
YE70ORW,,BMW,3 SERIES DIESEL SALOON,320d MHT M Sport 4dr Step Auto,23/10/2020,92558,36773,,,,,,,,,21850,,,24250,,,,CAR,,,,,,21400,,,23750
YJ21DNL,,BMW,3 SERIES DIESEL SALOON,320d MHT M Sport 4dr Step Auto,30/06/2021,92558,32835,,,,,,,,,23100,,,25750,,,,CAR,,,,,,22650,,,25250
YH71ULT,,BMW,3 SERIES DIESEL SALOON,320d MHT M Sport 4dr Step Auto,28/09/2021,92558,28333,,,,,,,,,24150,,,27000,,,,CAR,,,,,,23650,,,26250
YJ21DMC,,BMW,3 SERIES SALOON,318i M Sport 4dr Step Auto,15/06/2021,92549,44985,,,,,,,,,18650,,,21000,,,,CAR,,,,,,18650,,,21000
YJ21DLT,,BMW,3 SERIES SALOON,318i M Sport 4dr Step Auto,14/06/2021,92549,41753,,,,,,,,,18900,,,21250,,,,CAR,,,,,,18900,,,21250
YJ21DLG,,BMW,3 SERIES SALOON,318i M Sport 4dr Step Auto,14/06/2021,92549,36632,,,,,,,,,19400,,,21750,,,,CAR,,,,,,19400,,,21750
YJ21DMR,,BMW,3 SERIES SALOON,318i M Sport 4dr Step Auto,16/06/2021,92549,39839,,,,,,,,,19100,,,21500,,,,CAR,,,,,,19100,,,21500
YJ21DLL,,BMW,3 SERIES SALOON,318i M Sport 4dr Step Auto,14/06/2021,92549,37163,,,,,,,,,19300,,,21750,,,,CAR,,,,,,19300,,,21750
