VRM,Unused1,CAPMan,CAPMod,CAPDer,DFR,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Clean_Month,Unused10,Unused11,Retail_Month,Unused12,Unused13,Unused14,Unused15,Unused16,Unused17,Unused18,Unused19,Unused20,Clean_Live,Unused21,Unused22,Retail_Live,Live_Date,Month_Date
LT70HZP,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/09/2020,89921,12000,,,,,,,,,14850,,,16950,,,,,,,,,,15000,,,17100,2024-02-02,2024-01-29
FH19OVW,,KIA,NIRO ESTATE,1.6 GDi Hybrid 3 5dr DCT,01/03/2019,76049,10000,,,,,,,,,15450,,,17500,,,,,,,,,,15450,,,17500,2024-02-02,2024-01-29
YD70ZTR,,MITSUBISHI,OUTLANDER ESTATE,2.0 Exceed 5dr CVT,01/09/2020,90176,43000,,,,,,,,,15050,,,17150,,,,,,,,,,15050,,,17150,2024-02-02,2024-01-29
LO19WML,,VAUXHALL,MOKKA X HATCHBACK,1.4T Design Nav 5dr Auto,01/03/2019,76068,23000,,,,,,,,,10750,,,12850,,,,,,,,,,11000,,,13100,2024-02-02,2024-01-29
SM70ARX,,VAUXHALL,CROSSLAND X HATCHBACK,1.2T [110] Elite 5dr [6 Speed] [S/S],01/09/2020,90634,8000,,,,,,,,,10000,,,12100,,,,,,,,,,10000,,,12100,2024-02-02,2024-01-29
CA20NGF,,RENAULT,KADJAR HATCHBACK,1.3 TCE Iconic 5dr,01/03/2020,87889,23000,,,,,,,,,10400,,,12500,,,,,,,,,,10550,,,12650,2024-02-02,2024-01-29
YR70GMG,,VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 145 SRi VX-Line Nav 5dr,01/09/2020,90582,20000,,,,,,,,,11150,,,13150,,,,,,,,,,11150,,,13150,2024-02-02,2024-01-29
KT70CZY,,RENAULT,CAPTUR HATCHBACK,1.3 TCE 130 S Edition 5dr,01/01/2021,91799,6000,,,,,,,,,12350,,,14450,,,,,,,,,,12450,,,14550,2024-02-02,2024-01-29
NX70XCC,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T Acenta Premium 5dr,01/01/2021,86518,19000,,,,,,,,,11850,,,13950,,,,,,,,,,12100,,,14200,2024-02-02,2024-01-29
SR19YCA,,HONDA,CIVIC HATCHBACK,1.0 VTEC Turbo 126 EX 5dr CVT [Tech Pack],01/03/2019,85700,19000,,,,,,,,,15300,,,17300,,,,,,,,,,15300,,,17300,2024-02-02,2024-01-29
YB70DFZ,,FORD,FIESTA HATCHBACK,1.0 EcoBoost Hybrid mHEV 125 Titanium 5dr,01/01/2021,93145,21000,,,,,,,,,10450,,,12250,,,,,,,,,,10550,,,12350,2024-02-02,2024-01-29
MM70JOH,,FORD,KUGA ESTATE,1.5 EcoBoost 150 ST-Line Edition 5dr,01/01/2021,94665,11000,,,,,,,,,20300,,,22500,,,,,,,,,,20300,,,22500,2024-02-02,2024-01-29
RO20URN,,TOYOTA,RAV4 ESTATE,2.5 VVT-i Hybrid Excel 5dr CVT,01/03/2020,87926,11000,,,,,,,,,24450,,,27000,,,,,,,,,,24700,,,27250,2024-02-02,2024-01-29
SB70FVD,,TOYOTA,C-HR HATCHBACK,1.8 Hybrid Excel 5dr CVT,01/01/2021,91220,30000,,,,,,,,,16700,,,18800,,,,,,,,,,16700,,,18800,2024-02-02,2024-01-29
LX68OWO,,MERCEDES-BENZ,CLA COUPE,CLA 180 AMG Line Edition 4dr,01/09/2018,84647,54000,,,,,,,,,12300,,,14300,,,,,,,,,,12300,,,14300,2024-02-02,2024-01-29
HJ70UNM,,TOYOTA,YARIS HATCHBACK,1.5 Hybrid Icon 5dr CVT,01/09/2020,93353,12000,,,,,,,,,13900,,,15700,,,,,,,,,,13900,,,15700,2024-02-02,2024-01-29
MJ70TMX,,RENAULT,CAPTUR HATCHBACK,1.0 TCE 100 S Edition 5dr,01/09/2020,91797,21000,,,,,,,,,10650,,,12750,,,,,,,,,,10750,,,12850,2024-02-02,2024-01-29
SD20SRX,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/03/2020,89921,48000,,,,,,,,,12100,,,14200,,,,,,,,,,12250,,,14350,2024-02-02,2024-01-29
OV70KKA,,HONDA,JAZZ HATCHBACK,1.5 i-MMD Hybrid SE 5dr eCVT,01/01/2021,92774,40000,,,,,,,,,13200,,,14995,,,,,,,,,,13350,,,15150,2024-02-02,2024-01-29
OY70UAC,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/09/2020,89921,6000,,,,,,,,,15300,,,17400,,,,,,,,,,15450,,,17550,2024-02-02,2024-01-29
YB20JYD,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/03/2020,89921,38000,,,,,,,,,12750,,,14850,,,,,,,,,,12900,,,15000,2024-02-02,2024-01-29
DF70KNG,,SEAT,ARONA HATCHBACK,1.0 TSI 115 FR Sport [EZ] 5dr DSG,01/01/2021,85375,16000,,,,,,,,,12950,,,14750,,,,,,,,,,13100,,,14900,2024-02-02,2024-01-29
YN70WFW,,HONDA,CIVIC HATCHBACK,1.0 VTEC Turbo 126 SE 5dr CVT,01/09/2020,85694,21000,,,,,,,,,12500,,,14500,,,,,,,,,,12500,,,14500,2024-02-02,2024-01-29
EA70PBY,,BMW,1 SERIES DIESEL HATCHBACK,116d M Sport 5dr Step Auto,01/09/2020,89894,42000,,,,,,,,,16550,,,18550,,,,,,,,,,16550,,,18550,2024-02-02,2024-01-29
MV19KAK,,MERCEDES-BENZ,GLA HATCHBACK,GLA 180 Urban Edition 5dr,01/03/2019,84865,23000,,,,,,,,,14900,,,17000,,,,,,,,,,14900,,,17000,2024-02-02,2024-01-29
YE70KRV,,FORD,PUMA HATCHBACK,1.0 EcoBoost Hybrid mHEV Titanium 5dr,01/09/2020,90761,10000,,,,,,,,,13950,,,16050,,,,,,,,,,13950,,,16050,2024-02-02,2024-01-29
LL70XDN,,MERCEDES-BENZ,A CLASS SALOON,A200 AMG Line 4dr Auto,01/09/2020,86689,31000,,,,,,,,,17950,,,19995,,,,,,,,,,17950,,,19995,2024-02-02,2024-01-29
ST70YHU,,FORD,FIESTA HATCHBACK,1.0 EcoBoost 95 Active Edition 5dr,01/01/2021,91745,33000,,,,,,,,,10600,,,12400,,,,,,,,,,10700,,,12500,2024-02-02,2024-01-29
SO70OJU,,SEAT,ATECA ESTATE,1.5 TSI EVO FR 5dr,01/09/2020,93977,28000,,,,,,,,,15150,,,17250,,,,,,,,,,15150,,,17250,2024-02-02,2024-01-29
VN20OPU,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T 160 Acenta Premium 5dr,01/03/2020,86519,34000,,,,,,,,,11100,,,13200,,,,,,,,,,11300,,,13450,2024-02-02,2024-01-29
CK19XJC,,SEAT,ARONA HATCHBACK,1.0 TSI 115 FR [EZ] 5dr DSG,01/03/2019,85374,20000,,,,,,,,,10300,,,12150,,,,,,,,,,10400,,,12250,2024-02-02,2024-01-29
ND70BAO,,TOYOTA,YARIS HATCHBACK,1.5 Hybrid Dynamic 5dr CVT,01/09/2020,93356,10000,,,,,,,,,16100,,,17900,,,,,,,,,,16100,,,17900,2024-02-02,2024-01-29
BC19OSM,,VAUXHALL,ASTRA SPORTS TOURER,1.4T 16V 150 SRi Nav 5dr Auto,01/03/2019,72729,34000,,,,,,,,,9450,,,11450,,,,,,,,,,9450,,,11450,2024-02-02,2024-01-29
MJ70URG,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T N-Connecta 5dr [Glass Roof Pack],01/09/2020,86508,19000,,,,,,,,,13150,,,15250,,,,,,,,,,13350,,,15450,2024-02-02,2024-01-29
RJ19ABO,,KIA,VENGA HATCHBACK,1.6 4 5dr Auto [6],01/03/2019,71038,49000,,,,,,,,,9325,,,11650,,,,,,,,,,9525,,,11850,2024-02-02,2024-01-29
EA20OBR,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/03/2020,89921,14000,,,,,,,,,14400,,,16550,,,,,,,,,,14550,,,16650,2024-02-02,2024-01-29
CA68YCN,,VOLVO,V40 HATCHBACK,T3 [152] Inscription 5dr Geartronic,01/09/2018,74751,27000,,,,,,,,,12750,,,14750,,,,,,,,,,12750,,,14750,2024-02-02,2024-01-29
DV70RYT,,SKODA,KAMIQ HATCHBACK,1.0 TSI SE L 5dr,01/09/2020,91387,13000,,,,,,,,,13150,,,15250,,,,,,,,,,13250,,,15350,2024-02-02,2024-01-29
SJ70SKN,,SKODA,KAROQ ESTATE,1.5 TSI SE 5dr DSG,01/09/2020,81620,24000,,,,,,,,,14100,,,16200,,,,,,,,,,14650,,,16800,2024-02-02,2024-01-29
YA70ZTF,,FORD,TOURNEO CONNECT DIESEL ESTATE,1.5 EcoBlue 120 Titanium 5dr,01/01/2021,83726,35000,,,,,,,,,14650,,,17050,,,,,,,,,,14650,,,17050,2024-02-02,2024-01-29
SV70WZC,,SUZUKI,SWIFT HATCHBACK,1.2 Dualjet 83 12V Hybrid SZ-T 5dr Auto,01/09/2020,94800,32000,,,,,,,,,10300,,,11800,,,,,,,,,,10400,,,11900,2024-02-02,2024-01-29
LR70UZK,,PEUGEOT,E-208 ELECTRIC HATCHBACK,100kW GT Line 50kWh 5dr Auto,01/09/2020,90726,23000,,,,,,,,,12900,,,15400,,,,,,,,,,12900,,,15400,2024-02-02,2024-01-29
MT70JGU,,PEUGEOT,3008 ESTATE,1.2 PureTech Allure 5dr,01/09/2020,77729,9000,,,,,,,,,14050,,,16150,,,,,,,,,,14150,,,16250,2024-02-02,2024-01-29
YS70FBY,,PEUGEOT,3008 ESTATE,1.2 PureTech Allure 5dr EAT8,01/09/2020,86227,11000,,,,,,,,,15950,,,18050,,,,,,,,,,16100,,,18200,2024-02-02,2024-01-29
AO70ZXG,,KIA,STONIC ESTATE,1.0T GDi 3 5dr,01/09/2020,86258,64000,,,,,,,,,9350,,,11400,,,,,,,,,,9450,,,11500,2024-02-02,2024-01-29
RE70UCF,,KIA,CEED SPORTSWAGON,1.4T GDi ISG 3 5dr DCT,01/09/2020,85788,30000,,,,,,,,,13400,,,15400,,,,,,,,,,13400,,,15400,2024-02-02,2024-01-29
FG72RVX,,PEUGEOT,E-208 ELECTRIC HATCHBACK,100kW GT Premium 50kWh 5dr Auto,01/09/2022,96176,10000,,,,,,,,,16750,,,19250,,,,,,,,,,16750,,,19250,2024-02-02,2024-01-29
SV70OTR,,KIA,NIRO ESTATE,1.6 GDi Hybrid 3 5dr DCT,01/09/2020,89922,46000,,,,,,,,,15100,,,17200,,,,,,,,,,15250,,,17350,2024-02-02,2024-01-29
HT69HHO,,HONDA,CIVIC DIESEL HATCHBACK,1.6 i-DTEC SR 5dr,01/01/2020,83033,25000,,,,,,,,,12250,,,14250,,,,,,,,,,12250,,,14250,2024-02-02,2024-01-29
LV70YJG,,SUZUKI,IGNIS HATCHBACK,1.2 Dualjet 12V Hybrid SZ5 5dr CVT,01/01/2021,92907,20000,,,,,,,,,12850,,,14350,,,,,,,,,,12850,,,14350,2024-02-02,2024-01-29
SB70HLJ,,BMW,2 SERIES GRAN COUPE,218i M Sport 4dr,01/01/2021,91838,20000,,,,,,,,,18200,,,20250,,,,,,,,,,18200,,,20250,2024-02-02,2024-01-29
ST70WPE,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/01/2021,89921,17000,,,,,,,,,14650,,,16750,,,,,,,,,,14800,,,16900,2024-02-02,2024-01-29
BC70VFS,,TOYOTA,RAV4 ESTATE,2.5 VVT-i Hybrid Design 5dr CVT,01/09/2020,87921,17000,,,,,,,,,21700,,,24000,,,,,,,,,,21900,,,24000,2024-02-02,2024-01-29
YO23NJX,,VAUXHALL,MOKKA ELECTRIC HATCHBACK,100kW Ultimate 50kWh 5dr Auto,01/03/2023,98643,2000,,,,,,,,,16650,,,18750,,,,,,,,,,16650,,,18750,2024-02-02,2024-01-29
DF20HLM,,VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 145 SRi VX-Line Nav 5dr,01/03/2020,90582,20000,,,,,,,,,10950,,,12950,,,,,,,,,,10950,,,12950,2024-02-02,2024-01-29
CK20XLV,,PEUGEOT,5008 DIESEL ESTATE,1.5 BlueHDi Allure 5dr,01/03/2020,81491,45000,,,,,,,,,14450,,,16550,,,,,,,,,,14750,,,16850,2024-02-02,2024-01-29
LV70FOA,,AUDI,A1 SPORTBACK,25 TFSI Sport 5dr S Tronic,01/01/2021,86527,16000,,,,,,,,,16000,,,17800,,,,,,,,,,16150,,,17950,2024-02-02,2024-01-29
CU70VCL,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T 160 [157] Acenta Premium 5dr DCT,01/09/2020,95533,7000,,,,,,,,,14750,,,16900,,,,,,,,,,15050,,,17150,2024-02-02,2024-01-29
PL68ZKS,,VOLKSWAGEN,TIGUAN DIESEL ESTATE,2.0 TDi 150 R-Line 5dr,01/01/2019,74862,52000,,,,,,,,,16400,,,18500,,,,,,,,,,16600,,,18650,2024-02-02,2024-01-29
SA70TUJ,,TOYOTA,C-HR HATCHBACK,1.8 Hybrid Design 5dr CVT,01/09/2020,91216,47000,,,,,,,,,14450,,,16550,,,,,,,,,,14450,,,16550,2024-02-02,2024-01-29
DE69JKJ,,SEAT,ALHAMBRA DIESEL ESTATE,2.0 TDI Ecomotive Xcellence [EZ] 150 5dr,01/09/2019,85327,31000,,,,,,,,,18500,,,21000,,,,,,,,,,18500,,,21000,2024-02-02,2024-01-29
WK20XWN,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/03/2020,89921,14000,,,,,,,,,14400,,,16550,,,,,,,,,,14550,,,16650,2024-02-02,2024-01-29
VK69FMC,,JEEP,RENEGADE HATCHBACK,1.3 T4 GSE Limited 5dr DDCT,01/01/2020,86270,27000,,,,,,,,,12900,,,15000,,,,,,,,,,12900,,,15000,2024-02-02,2024-01-29
NU70KZZ,,FORD,FOCUS DIESEL HATCHBACK,1.5 EcoBlue 120 Zetec Edition 5dr,01/01/2021,93199,19000,,,,,,,,,12400,,,14400,,,,,,,,,,12400,,,14400,2024-02-02,2024-01-29
FD70DGO,,SKODA,KAROQ ESTATE,1.5 TSI SE Technology 5dr DSG,01/01/2021,81623,23000,,,,,,,,,14550,,,16650,,,,,,,,,,15150,,,17250,2024-02-02,2024-01-29
CA70RCV,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T N-Connecta 5dr [Glass Roof Pack],01/09/2020,86508,25000,,,,,,,,,12750,,,14850,,,,,,,,,,13000,,,15050,2024-02-02,2024-01-29
YP70ZGK,,AUDI,Q2 ESTATE,30 TFSI Black Edition 5dr,01/09/2020,87221,59000,,,,,,,,,15000,,,17000,,,,,,,,,,15150,,,17200,2024-02-02,2024-01-29
YA70PZT,,NISSAN,JUKE HATCHBACK,1.0 DiG-T 114 Tekna+ 5dr DCT,01/01/2021,95833,13000,,,,,,,,,15550,,,17650,,,,,,,,,,15700,,,17800,2024-02-02,2024-01-29
