VRM,Unused1,CAPMan,CAPMod,CAPDer,DFR,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Clean_Month,Unused10,Unused11,Retail_Month,Unused12,Unused13,Unused14,Unused15,Unused16,Unused17,Unused18,Unused19,Unused20,Clean_Live,Unused21,Unused22,Retail_Live,Live_Date,Month_Date
LM21EOH,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T 160 [157] N-Connecta 5dr DCT Glass Roof,01/03/2021,95534.0,43000,,,,,,,,,13950,,,16050,,,,,,,,,,14200,,,16300,2024-02-06,2024-01-29
DY21KRF,,VOLVO,XC60 ESTATE,2.0 B5P [250] R DESIGN 5dr Geartronic,01/03/2021,91509.0,20000,,,,,,,,,27250,,,30000,,,,,,,,,,27800,,,30500,2024-02-06,2024-01-29
BF70EBX,,JAGUAR,I-PACE ESTATE,294kW EV400 S 90kWh 5dr Auto [11kW Charger],01/09/2020,93194.0,30000,,,,,,,,,20050,,,23000,,,,,,,,,,20050,,,23000,2024-02-06,2024-01-29
KO17UUF,,MERCEDES-BENZ,E CLASS SALOON,E350e AMG Line Premium Plus 4dr 9G-Tronic,01/03/2017,76532.0,70000,,,,,,,,,16450,,,19250,,,,,,,,,,15800,,,18600,2024-02-06,2024-01-29
YS70BVB,,VOLVO,XC40 ESTATE,1.5 T3 [163] Momentum 5dr,01/09/2020,88504.0,31000,,,,,,,,,16200,,,18300,,,,,,,,,,16500,,,18600,2024-02-06,2024-01-29
ML21ZUA,,PEUGEOT,3008 ESTATE,1.2 PureTech GT 5dr,01/03/2021,95409.0,35000,,,,,,,,,15800,,,17900,,,,,,,,,,16000,,,18100,2024-02-06,2024-01-29
BT70BTX,,JAGUAR,I-PACE ESTATE,294kW EV400 S 90kWh 5dr Auto [11kW Charger],01/09/2020,93194.0,19000,,,,,,,,,21150,,,24250,,,,,,,,,,21150,,,24250,2024-02-06,2024-01-29
LG22ZVX,,KIA,EV6 ELECTRIC ESTATE,166kW Air 77.4kWh 5dr Auto,01/03/2022,97974.0,13000,,,,,,,,,26250,,,29250,,,,,,,,,,25750,,,28500,2024-02-06,2024-01-29
BL19XXK,,BMW,1 SERIES HATCHBACK SPECIAL EDITION,118i [1.5] M Sport Shadow Edition 5dr,01/03/2019,80866.0,42000,,,,,,,,,12300,,,14300,,,,,,,,,,12450,,,14450,2024-02-06,2024-01-29
RK71MFX,,AUDI,Q5 ESTATE,45 TFSI Quattro Sport 5dr S Tronic,01/09/2021,93939.0,46000,,,,,,,,,24500,,,28500,,,,,,,,,,24000,,,27000,2024-02-06,2024-01-29
KK68WHM,,MERCEDES-BENZ,A CLASS DIESEL HATCHBACK,A180d Sport 5dr Auto,01/01/2019,83781.0,57000,,,,,,,,,12150,,,14150,,,,,,,,,,12150,,,14150,2024-02-06,2024-01-29
KM19PYY,,AUDI,A1 SPORTBACK,35 TFSI S Line 5dr,01/03/2019,86536.0,31000,,,,,,,,,15500,,,17300,,,,,,,,,,15650,,,17400,2024-02-06,2024-01-29
EK71DKE,,FORD,KUGA DIESEL ESTATE,1.5 EcoBlue ST-Line X Edition 5dr Auto,01/09/2021,94680.0,27000,,,,,,,,,19750,,,22000,,,,,,,,,,19750,,,22000,2024-02-06,2024-01-29
BN20ECT,,TESLA,MODEL 3 SALOON,Standard Plus 4dr Auto,01/03/2020,89347.0,30000,,,,,,,,,18750,,,20750,,,,,,,,,,18550,,,20750,2024-02-06,2024-01-29
EJ70FVN,,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,01/09/2020,89233.0,37000,,,,,,,,,22400,,,24750,,,,,,,,,,22200,,,24500,2024-02-06,2024-01-29
EY71KVL,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T MH 158 Tekna 5dr Xtronic,01/09/2021,97335.0,16000,,,,,,,,,20300,,,22500,,,,,,,,,,20300,,,22500,2024-02-06,2024-01-29
FG19XXP,,FORD,FIESTA HATCHBACK,1.0 EcoBoost ST-Line 3dr,01/03/2019,78830.0,35000,,,,,,,,,7975,,,9775,,,,,,,,,,8150,,,9925,2024-02-06,2024-01-29
VGZ7220,,PEUGEOT,E-2008 ELECTRIC ESTATE,100kW Allure Premium 50kWh 5dr Auto,01/09/2021,92609.0,32000,,,,,,,,,13300,,,15400,,,,,,,,,,13200,,,15300,2024-02-06,2024-01-29
SL20PXE,,TESLA,MODEL 3 SALOON,Standard Plus 4dr Auto,01/03/2020,89347.0,18000,,,,,,,,,19650,,,21750,,,,,,,,,,19500,,,21750,2024-02-06,2024-01-29
YS20JXD,,FORD,FIESTA HATCHBACK,1.0 EcoBoost 125 Active Edition 5dr,01/03/2020,91747.0,27000,,,,,,,,,10800,,,12650,,,,,,,,,,11000,,,12800,2024-02-06,2024-01-29
BA19TBO,,MINI,HATCHBACK,1.5 Cooper Sport II 5dr,01/03/2019,86825.0,32000,,,,,,,,,12150,,,13650,,,,,,,,,,12250,,,13750,2024-02-06,2024-01-29
GK17FVP,,CITROEN,GRAND C4 PICASSO DIESEL ESTATE,1.6 BlueHDi Flair 5dr,01/03/2017,75613.0,62000,,,,,,,,,8150,,,10400,,,,,,,,,,8150,,,10400,2024-02-06,2024-01-29
VK19XNT,,SEAT,ATECA ESTATE,1.5 TSI EVO Xcellence [EZ] 5dr,01/03/2019,85000.0,47000,,,,,,,,,12450,,,14550,,,,,,,,,,12450,,,14550,2024-02-06,2024-01-29
PF20NAA,,MAZDA,MAZDA2 HATCHBACK,1.5 Skyactiv G SE-L Nav 5dr,01/01/2024,91105.0,17000,,,,,,,,,n/a,,,n/a,,,,,,,,,,n/a,,,n/a,2024-02-06,2024-01-29
WM70BMY,,MG MOTOR UK,ZS ELECTRIC HATCHBACK,105kW Exclusive EV 45kWh 5dr Auto,01/09/2020,90734.0,14000,,,,,,,,,12700,,,14800,,,,,,,,,,12450,,,14550,2024-02-06,2024-01-29
