VRM,Unused1,CAPMan,CAPMod,CAPDer,DFR,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Clean_Month,Unused10,Unused11,Retail_Month,Unused12,Unused13,Unused14,Unused15,Unused16,Unused17,Unused18,Unused19,Unused20,Clean_Live,Unused21,Unused22,Retail_Live,Live_Date,Month_Date
LO70ATZ,,VAUXHALL,GRANDLAND X HATCHBACK,1.2 Turbo SRi Nav 5dr,01/01/2021,90018.0,33000,,,,,,,,,10950,,,13050,,,,,,,,,,10950,,,13050,2024-02-07,2024-01-29
DF21KUC,,TOYOTA,YARIS HATCHBACK,1.5 Hybrid Design 5dr CVT,01/03/2021,93354.0,7000,,,,,,,,,15800,,,17600,,,,,,,,,,15800,,,17600,2024-02-07,2024-01-29
AO69PVL,,KIA,CEED SPORTSWAGON,1.4T GDi ISG 3 5dr DCT,01/09/2019,85788.0,13000,,,,,,,,,14150,,,16150,,,,,,,,,,14150,,,16150,2024-02-07,2024-01-29
HR19OMW,,HYUNDAI,TUCSON ESTATE,1.6 GDi SE Nav 5dr 2WD,01/03/2019,86126.0,9000,,,,,,,,,12350,,,14450,,,,,,,,,,12450,,,14600,2024-02-07,2024-01-29
NA70WUH,,VAUXHALL,COMBO LIFE DIESEL ESTATE,1.5 Turbo D 130 Elite 5dr Auto [7 seat],01/09/2020,89974.0,35000,,,,,,,,,13100,,,14900,,,,,,,,,,13100,,,14900,2024-02-07,2024-01-29
LD22LZO,,FIAT,500C CONVERTIBLE,1.0 Mild Hybrid Dolcevita [Part Leather] 2dr,01/03/2022,96769.0,7000,,,,,,,,,10200,,,11700,,,,,,,,,,10200,,,11700,2024-02-07,2024-01-29
BV70OMB,,SEAT,ARONA HATCHBACK,1.0 TSI SE Technology [EZ] 5dr,01/09/2020,85360.0,16000,,,,,,,,,10250,,,12050,,,,,,,,,,10350,,,12150,2024-02-07,2024-01-29
YN70XUP,,HONDA,JAZZ HATCHBACK,1.5 i-MMD Hybrid EX 5dr eCVT,01/01/2021,92776.0,6000,,,,,,,,,18150,,,20000,,,,,,,,,,18350,,,20000,2024-02-07,2024-01-29
PK70KLF,,KIA,SPORTAGE ESTATE,1.6 GDi ISG 2 5dr,01/01/2021,85754.0,12000,,,,,,,,,14400,,,16550,,,,,,,,,,14550,,,16650,2024-02-07,2024-01-29
SL70XFK,,RENAULT,CLIO HATCHBACK,1.0 TCe 100 Iconic 5dr,01/09/2020,90128.0,8000,,,,,,,,,10600,,,13000,,,,,,,,,,10700,,,13100,2024-02-07,2024-01-29
FH69WBW,,CITROEN,C5 AIRCROSS DIESEL HATCHBACK,1.5 BlueHDi 130 Flair 5dr,01/01/2020,87261.0,4000,,,,,,,,,13200,,,15300,,,,,,,,,,13200,,,15300,2024-02-07,2024-01-29
LR20OMT,,MERCEDES-BENZ,A CLASS SALOON,A200 AMG Line 4dr Auto,01/03/2020,86689.0,55000,,,,,,,,,15250,,,17250,,,,,,,,,,15250,,,17250,2024-02-07,2024-01-29
PJ70SYV,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T Acenta Premium 5dr,01/09/2020,86518.0,22000,,,,,,,,,11600,,,13700,,,,,,,,,,11800,,,13900,2024-02-07,2024-01-29
MM20BVO,,FORD,FIESTA HATCHBACK,1.0 EcoBoost 95 ST-Line X Edition 5dr,01/03/2020,91740.0,42000,,,,,,,,,10200,,,12000,,,,,,,,,,10400,,,12150,2024-02-07,2024-01-29
DK70VSU,,HONDA,JAZZ HATCHBACK,1.5 i-MMD Hybrid EX 5dr eCVT,01/09/2020,92776.0,14000,,,,,,,,,17350,,,19100,,,,,,,,,,17550,,,19350,2024-02-07,2024-01-29
EO70UVY,,KIA,RIO HATCHBACK,1.0 T GDi 2 5dr,01/09/2020,78106.0,38000,,,,,,,,,9450,,,11250,,,,,,,,,,9450,,,11250,2024-02-07,2024-01-29
