VRM,Unused1,CAPMan,CAPMod,CAPDer,DFR,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Clean_Month,Unused10,Unused11,Retail_Month,Unused12,Unused13,Unused14,Unused15,Unused16,Unused17,Unused18,Unused19,Unused20,Clean_Live,Unused21,Unused22,Retail_Live,Live_Date,Month_Date
SB70YUE,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T Acenta Premium 5dr,01/01/2021,86518,17000,,,,,,,,,12000,,,14100,,,,,,,,,,12250,,,14350,2024-02-06,2024-01-29
PK70HFL,,MERCEDES-BENZ,A CLASS HATCHBACK,A200 AMG Line Executive 5dr Auto,01/09/2020,83772,59000,,,,,,,,,14850,,,16850,,,,,,,,,,14850,,,16850,2024-02-06,2024-01-29
PK23YTU,,VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 130 GS Line 5dr Auto,01/03/2023,99098,6000,,,,,,,,,19500,,,21500,,,,,,,,,,19500,,,21500,2024-02-06,2024-01-29
NV70OGL,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T 160 [157] Acenta Premium 5dr DCT,01/01/2021,95533,13000,,,,,,,,,14450,,,16600,,,,,,,,,,14750,,,16850,2024-02-06,2024-01-29
PK70ORC,,CITROEN,C5 AIRCROSS DIESEL HATCHBACK,1.5 BlueHDi 130 Flair Plus 5dr,01/09/2020,87263,11000,,,,,,,,,14300,,,16400,,,,,,,,,,14300,,,16400,2024-02-06,2024-01-29
KM71VTG,,VAUXHALL,CROSSLAND HATCHBACK,1.2 Turbo [130] Elite Nav 5dr Auto,01/09/2021,94721,30000,,,,,,,,,12500,,,14600,,,,,,,,,,12500,,,14600,2024-02-06,2024-01-29
HT22YYZ,,VAUXHALL,CORSA HATCHBACK,1.2 Turbo Ultimate 5dr Auto,01/03/2022,98538,5000,,,,,,,,,15000,,,16800,,,,,,,,,,15450,,,17250,2024-02-06,2024-01-29
SD21ZFZ,,FORD,FIESTA HATCHBACK,1.0 EcoBoost 125 Titanium X 5dr Auto [7 Speed],01/03/2021,93163,29000,,,,,,,,,13050,,,14850,,,,,,,,,,13300,,,15100,2024-02-06,2024-01-29
SB67GLK,,BMW,1 SERIES DIESEL HATCHBACK,120d M Sport 3dr [Nav/Servotronic],01/09/2017,80840,87000,,,,,,,,,9225,,,11200,,,,,,,,,,9325,,,11300,2024-02-06,2024-01-29
FM19ZLO,,FORD,KUGA ESTATE,1.5 EcoBoost Titanium X Edition 5dr 2WD,01/03/2019,87296,21000,,,,,,,,,13200,,,15300,,,,,,,,,,13200,,,15300,2024-02-06,2024-01-29
AF70TEO,,SUZUKI,SWIFT HATCHBACK,1.2 Dualjet 83 12V Hybrid SZ5 5dr Auto,01/09/2020,94802,41000,,,,,,,,,10700,,,12200,,,,,,,,,,10850,,,12350,2024-02-06,2024-01-29
EK21CZV,,BMW,2 SERIES GRAN COUPE,218i M Sport 4dr DCT,01/03/2021,91833,35000,,,,,,,,,17750,,,19800,,,,,,,,,,17750,,,19800,2024-02-06,2024-01-29
MT70SYJ,,FORD,PUMA HATCHBACK,1.0 EcoBoost Hybrid mHEV ST-Line X 5dr,01/01/2021,90763,11000,,,,,,,,,15600,,,17700,,,,,,,,,,15600,,,17700,2024-02-06,2024-01-29
BG70XNP,,FORD,FOCUS HATCHBACK,1.0 EcoBoost Hybrid mHEV 125 Titanium Edition 5dr,01/09/2020,93265,18000,,,,,,,,,12300,,,14300,,,,,,,,,,12300,,,14300,2024-02-06,2024-01-29
YY23KKU,,KIA,STONIC ESTATE,1.0T GDi 48V GT-Line S 5dr DCT,01/03/2023,95021,7000,,,,,,,,,18950,,,21000,,,,,,,,,,19150,,,21250,2024-02-06,2024-01-29
PF70OYJ,,HYUNDAI,IONIQ HATCHBACK,1.6 GDi Hybrid Premium SE 5dr DCT,01/01/2021,91061,4000,,,,,,,,,17200,,,19200,,,,,,,,,,17200,,,19200,2024-02-06,2024-01-29
GK73LHZ,,KIA,NIRO EV ESTATE,150kW 2 Nav 64kWh 5dr Auto,01/09/2023,102929,2000,,,,,,,,,25900,,,28500,,,,,,,,,,25650,,,28250,2024-02-06,2024-01-29
LV70JZN,,SEAT,ATECA ESTATE,1.5 TSI EVO FR Sport 5dr,01/09/2020,93979,10000,,,,,,,,,16850,,,18950,,,,,,,,,,16850,,,18950,2024-02-06,2024-01-29
OW72MPE,,FORD,ECOSPORT HATCHBACK,1.0 EcoBoost 125 ST-Line 5dr,01/01/2023,81730,8000,,,,,,,,,14550,,,16550,,,,,,,,,,14800,,,16800,2024-02-06,2024-01-29
PX70XSD,,MINI,HATCHBACK,2.0 Cooper S Sport II 5dr Auto,01/09/2020,86874,28000,,,,,,,,,16400,,,18400,,,,,,,,,,16400,,,18400,2024-02-06,2024-01-29
DF23KWH,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T MH N-Connecta [Glass Roof] 5dr,01/03/2023,97499,3000,,,,,,,,,20450,,,22750,,,,,,,,,,20450,,,22750,2024-02-06,2024-01-29
