VRM,Unused1,CAPMan,CAPMod,CAPDer,DFR,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Clean_Month,Unused10,Unused11,Retail_Month,Unused12,Unused13,Unused14,Unused15,Unused16,Unused17,Unused18,Unused19,Unused20,Clean_Live,Unused21,Unused22,Retail_Live,Live_Date,Month_Date
NL21YKE,,VAUXHALL,GRANDLAND X HATCHBACK,1.2 Turbo SRi Nav 5dr,01/03/2021,90018,49000,,,,,,,,,10300,,,12400,,,,,,,,,,10300,,,12400,2024-02-01,2024-01-29
PX70WCU,,NISSAN,QASHQAI HATCHBACK,1.3 DiG-T 160 N-Connecta 5dr DCT [Glass Roof Pack],01/09/2020,87510,32000,,,,,,,,,14300,,,16400,,,,,,,,,,14600,,,16700,2024-02-01,2024-01-29
GL70FSU,,TOYOTA,C-HR HATCHBACK,1.8 Hybrid Icon 5dr CVT,01/01/2021,91214,60000,,,,,,,,,12450,,,14550,,,,,,,,,,12450,,,14550,2024-02-01,2024-01-29
BX20SXC,,FORD,PUMA HATCHBACK SPECIAL EDITIONS,1.0 EcoBoost Hybrid mHEV ST-Line X First Ed 5dr,01/03/2020,90768,10000,,,,,,,,,15400,,,17500,,,,,,,,,,15400,,,17500,2024-02-01,2024-01-29
BP23LNK,,SKODA,ENYAQ IV ESTATE,150kW 80 Suite 82kWh 5dr Auto [125kW],01/03/2023,97971,8000,,,,,,,,,29450,,,32250,,,,,,,,,,29450,,,32250,2024-02-01,2024-01-29
FP69DNF,,SEAT,ARONA DIESEL HATCHBACK,1.6 TDI Xcellence Lux [EZ] 5dr DSG,01/09/2019,85389,61000,,,,,,,,,9900,,,12000,,,,,,,,,,9900,,,12000,2024-02-01,2024-01-29
FH70ONN,,SUZUKI,VITARA ESTATE,1.4 Boosterjet 48V Hybrid SZ-T 5dr,01/01/2021,92771,29000,,,,,,,,,11550,,,13650,,,,,,,,,,11550,,,13650,2024-02-01,2024-01-29
NL69FFD,,TOYOTA,C-HR HATCHBACK,1.8 Hybrid Excel 5dr CVT,01/09/2019,76774,7000,,,,,,,,,n/a,,,n/a,,,,,,,,,,n/a,,,n/a,2024-02-01,2024-01-29
CX70XJY,,HYUNDAI,IONIQ HATCHBACK,1.6 GDi Hybrid Premium 5dr DCT,01/09/2020,91060,40000,,,,,,,,,12300,,,14295,,,,,,,,,,12300,,,14295,2024-02-01,2024-01-29
SL23NHZ,,VAUXHALL,ASTRA HATCHBACK,1.2 Turbo 130 Design 5dr,01/03/2023,99093,9000,,,,,,,,,17100,,,19100,,,,,,,,,,17100,,,19100,2024-02-01,2024-01-29
MM70KPX,,AUDI,A1 SPORTBACK,25 TFSI Technik 5dr,01/01/2021,89485,35000,,,,,,,,,13050,,,14850,,,,,,,,,,13200,,,15000,2024-02-01,2024-01-29
BX22SMV,,FIAT,500 ELECTRIC HATCHBACK,87kW Icon 42kWh 3dr Auto,01/03/2022,94313,13000,,,,,,,,,14000,,,16100,,,,,,,,,,14000,,,16100,2024-02-01,2024-01-29
EU70TWM,,JEEP,RENEGADE HATCHBACK,1.3 T4 GSE Longitude 5dr DDCT,01/09/2020,86272,30000,,,,,,,,,12250,,,14350,,,,,,,,,,12250,,,14350,2024-02-01,2024-01-29
EF22EHZ,,PEUGEOT,208 HATCHBACK,1.2 PureTech 130 GT Premium 5dr EAT8,01/03/2022,96173,29000,,,,,,,,,14850,,,16650,,,,,,,,,,15000,,,16800,2024-02-01,2024-01-29
OV70RWU,,MINI,HATCHBACK,2.0 Cooper S Classic II 3dr,01/09/2020,86855,4000,,,,,,,,,13850,,,15650,,,,,,,,,,13850,,,15650,2024-02-01,2024-01-29
SG20TDV,,MINI,COUNTRYMAN HATCHBACK,2.0 Cooper S Exclusive 5dr Auto,01/03/2020,87140,18000,,,,,,,,,19850,,,22000,,,,,,,,,,19850,,,22000,2024-02-01,2024-01-29
AR70DLO,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/01/2021,89921,38000,,,,,,,,,13150,,,15250,,,,,,,,,,13250,,,15350,2024-02-01,2024-01-29
LA69TWF,,HONDA,CIVIC HATCHBACK,1.0 VTEC Turbo 126 SE 5dr,01/01/2020,85693,14000,,,,,,,,,11800,,,13800,,,,,,,,,,11800,,,13800,2024-02-01,2024-01-29
PY71DZH,,VOLVO,XC40 ESTATE,1.5 T5 Recharge PHEV R DESIGN Pro 5dr Auto,01/09/2021,92697,26000,,,,,,,,,22900,,,25750,,,,,,,,,,23350,,,26250,2024-02-01,2024-01-29
PN20UAF,,VOLKSWAGEN,TIGUAN DIESEL ESTATE,2.0 TDi 150 R-Line Tech 5dr,01/03/2020,87995,14000,,,,,,,,,22200,,,24500,,,,,,,,,,22450,,,24750,2024-02-01,2024-01-29
NU22KKD,,FORD,FOCUS DIESEL ESTATE,1.5 EcoBlue 120 Active Edition 5dr Auto,01/03/2022,93248,21000,,,,,,,,,14650,,,16650,,,,,,,,,,14650,,,16650,2024-02-01,2024-01-29
LX18HCA,,NISSAN,QASHQAI HATCHBACK,1.2 DiG-T N-Connecta 5dr Xtronic,01/03/2018,80454,7000,,,,,,,,,13150,,,15250,,,,,,,,,,13150,,,15250,2024-02-01,2024-01-29
PF21LNV,,MG MOTOR UK,HS HATCHBACK,1.5 T-GDI Excite 5dr DCT,01/03/2021,91413,16000,,,,,,,,,13350,,,15450,,,,,,,,,,13350,,,15450,2024-02-01,2024-01-29
CY20DJZ,,KIA,NIRO ESTATE,1.6 GDi Hybrid 2 5dr DCT,01/03/2020,89921,58000,,,,,,,,,11500,,,13600,,,,,,,,,,11650,,,13750,2024-02-01,2024-01-29
