VRM,Unused1,CAPMan,CAPMod,CAPDer,DFR,CAPID,Mileage,Unused2,Unused3,Unused4,Unused5,Unused6,Unused7,Unused8,Unused9,Clean_Month,Unused10,Unused11,Retail_Month,Unused12,Unused13,Unused14,Unused15,Unused16,Unused17,Unused18,Unused19,Unused20,Clean_Live,Unused21,Unused22,Retail_Live,Live_Date,Month_Date
BT68NMJ,,HYUNDAI,IONIQ ELECTRIC HATCHBACK,88kW Electric Premium 28kWh 5dr Auto,01/09/2018,76405.0,24000,,,,,,,,,10950,,,13250,,,,,,,,,,10950,,,13250,2024-02-01,2024-01-29
VK21EPN,,VOLKSWAGEN,T-ROC HATCHBACK,1.5 TSI EVO R-Line 5dr DSG,01/03/2021,81806.0,40000,,,,,,,,,19200,,,21250,,,,,,,,,,19200,,,21250,2024-02-01,2024-01-29
SB70OXD,,AUDI,Q2 ESTATE,35 TFSI Black Edition 5dr,01/09/2020,95250.0,30000,,,,,,,,,18950,,,21000,,,,,,,,,,19150,,,21250,2024-02-01,2024-01-29
YJ66FBP,,BMW,4 SERIES DIESEL COUPE,420d [190] M Sport 2dr [Professional Media],01/01/2017,68103.0,52000,,,,,,,,,10900,,,13400,,,,,,,,,,10900,,,13400,2024-02-01,2024-01-29
FX67LZO,,HONDA,CIVIC HATCHBACK,1.0 VTEC Turbo EX 5dr,01/09/2017,77974.0,44000,,,,,,,,,10750,,,12750,,,,,,,,,,10750,,,12750,2024-02-01,2024-01-29
NU66UHJ,,AUDI,TT COUPE,1.8T FSI Sport 2dr,01/09/2016,72879.0,40000,,,,,,,,,10250,,,13250,,,,,,,,,,10250,,,13250,2024-02-01,2024-01-29
BP69VYR,,BMW,2 SERIES GRAN TOURER,220i M Sport 5dr DCT,01/09/2019,83304.0,31000,,,,,,,,,16600,,,19000,,,,,,,,,,16600,,,19000,2024-02-01,2024-01-29
MJ66ASX,,AUDI,Q3 DIESEL ESTATE,2.0 TDI S Line Navigation 5dr,01/09/2016,75117.0,75000,,,,,,,,,10150,,,12450,,,,,,,,,,10150,,,12450,2024-02-01,2024-01-29
VF18BYZ,,TOYOTA,C-HR HATCHBACK,1.8 Hybrid Dynamic 5dr CVT,01/03/2018,76786.0,27000,,,,,,,,,14900,,,17000,,,,,,,,,,14750,,,16850,2024-02-01,2024-01-29
VA19MSO,,AUDI,A3 SALOON,S3 TFSI 300 Quattro Black Edition 4dr S Tronic,01/03/2019,85531.0,30000,,,,,,,,,23300,,,27750,,,,,,,,,,22600,,,27000,2024-02-01,2024-01-29
LJ20YTU,,TESLA,MODEL 3 SALOON,Standard Plus 4dr Auto,01/03/2020,89347.0,33000,,,,,,,,,18550,,,20500,,,,,,,,,,18550,,,20500,2024-02-01,2024-01-29
DL68YOC,,VAUXHALL,CORSA HATCHBACK,1.4 SRi Vx-line Nav Black 5dr,01/09/2018,83940.0,24000,,,,,,,,,7575,,,9095,,,,,,,,,,7575,,,9095,2024-02-01,2024-01-29
YB18FCA,,BMW,3 SERIES DIESEL SALOON,320d M Sport 4dr Step Auto,01/03/2018,70237.0,50000,,,,,,,,,13300,,,15800,,,,,,,,,,13300,,,15800,2024-02-01,2024-01-29
ND22BZF,,CITROEN,E-C4 ELECTRIC HATCHBACK,100kW Shine Plus 50kWh 5dr Auto,01/03/2022,94986.0,11000,,,,,,,,,14950,,,17000,,,,,,,,,,14950,,,17000,2024-02-01,2024-01-29
OV70UUR,,JAGUAR,I-PACE ESTATE,294kW EV400 HSE 90kWh 5dr Auto [11kW Charger],01/09/2020,93196.0,21000,,,,,,,,,25750,,,29500,,,,,,,,,,25750,,,29500,2024-02-01,2024-01-29
YH70DWY,,AUDI,A3 SPORTBACK,35 TFSI Technik 5dr,01/09/2020,92813.0,37000,,,,,,,,,14850,,,16850,,,,,,,,,,14850,,,16850,2024-02-01,2024-01-29
FG70CZO,,TOYOTA,C-HR HATCHBACK,2.0 Hybrid Excel 5dr CVT,01/09/2020,91222.0,40000,,,,,,,,,16350,,,18450,,,,,,,,,,16350,,,18450,2024-02-01,2024-01-29
BN70OUS,,JAGUAR,I-PACE ESTATE,294kW EV400 S 90kWh 5dr Auto [11kW Charger],01/09/2020,93194.0,22000,,,,,,,,,20850,,,23750,,,,,,,,,,20850,,,23750,2024-02-01,2024-01-29
OY70UMF,,POLESTAR,2 FASTBACK SPECIAL EDITION,300kW Pilot Plus 78kWh Dual motor 5dr 4WD Auto,01/09/2020,91831.0,32000,,,,,,,,,23850,,,26250,,,,,,,,,,23350,,,25750,2024-02-01,2024-01-29
FD70XPJ,,TOYOTA,C-HR HATCHBACK,1.8 Hybrid Design 5dr CVT,01/09/2020,91216.0,37000,,,,,,,,,15200,,,17350,,,,,,,,,,15200,,,17350,2024-02-01,2024-01-29
PX71YYJ,,CUPRA,FORMENTOR ESTATE,1.4 eHybrid 204 V1 5dr DSG,01/09/2021,95299.0,11000,,,,,,,,,19850,,,22000,,,,,,,,,,19850,,,22000,2024-02-01,2024-01-29
AX19HHT,,SEAT,MII HATCHBACK,1.0 75 FR Line [EZ] 5dr,01/03/2019,85113.0,33000,,,,,,,,,7150,,,8650,,,,,,,,,,7150,,,8650,2024-02-01,2024-01-29
WP21BXH,,MITSUBISHI,OUTLANDER ESTATE,2.4 PHEV Dynamic 5dr Auto,01/03/2021,90213.0,29000,,,,,,,,,17650,,,19700,,,,,,,,,,17650,,,19700,2024-02-01,2024-01-29
SW67CRJ,,FORD,KA+ HATCHBACK,1.2 Zetec 5dr,01/01/2018,75583.0,18000,,,,,,,,,7050,,,8550,,,,,,,,,,7050,,,8550,2024-02-01,2024-01-29
LM68VNY,,NISSAN,JUKE HATCHBACK,1.6 [112] Bose Personal Edition 5dr,01/09/2018,85575.0,32000,,,,,,,,,8800,,,11000,,,,,,,,,,8800,,,11000,2024-02-01,2024-01-29
RM02LMM,,KIA,CEED DIESEL HATCHBACK,1.6 CRDi ISG 3 5dr DCT,01/09/2019,85782.0,51000,,,,,,,,,9575,,,11600,,,,,,,,,,9575,,,11600,2024-02-01,2024-01-29
KM17YDX,,NISSAN,QASHQAI DIESEL HATCHBACK,1.5 dCi N-Connecta 5dr,01/03/2017,73659.0,84000,,,,,,,,,6525,,,8525,,,,,,,,,,6525,,,8525,2024-02-01,2024-01-29
SL72OLU,,CITROEN,E-C4 ELECTRIC HATCHBACK,100kW C-Series Edition 50kWh 5dr Auto,01/09/2022,100517.0,10000,,,,,,,,,15050,,,17095,,,,,,,,,,15050,,,17095,2024-02-01,2024-01-29
FJ65SDY,,FORD,FOCUS HATCHBACK,1.0 EcoBoost 125 Zetec 5dr,01/09/2015,65250.0,74000,,,,,,,,,3775,,,5575,,,,,,,,,,3775,,,5575,2024-02-01,2024-01-29
LL70BXO,,MERCEDES-BENZ,GLA HATCHBACK SPECIAL EDITIONS,GLA 250e Exclusive Edition 5dr Auto,01/09/2020,93677.0,12000,,,,,,,,,25900,,,28500,,,,,,,,,,25900,,,28500,2024-02-01,2024-01-29
EO67XGS,,HYUNDAI,TUCSON DIESEL ESTATE,1.7 CRDi Blue Drive Premium 5dr 2WD,01/09/2017,71704.0,61000,,,,,,,,,9350,,,11450,,,,,,,,,,9350,,,11450,2024-02-01,2024-01-29
